,Product
124,Aflamil
125,Aflu Theiss 
126,Aflubin
127,Aflubin
128,Afrin
129,Afrin ND
130,"Afrin

  ND Chamomile"
131,"Afrin

  ND Glycerol"
132,Afrin ND Menthol
133,Agapurin 
134,"Agapurin

  SR"
135,"Agapurin

  SR"
136,"Agapurin

  SR"
137,"Agapurin

  SR"
138,Agen
139,Aggrastat
140,Agilamex 
141,Agiolax 
142,"Aglandin

  Comp"
143,Agodeprin
144,"Agomelatine

  G.L.Pharma"
145,Agreta 
146,Ahtitetanos Serum Bul Bio 
147,Aimafix
148,"AIRBUFO

  FORSPIRO"
149,"AirFluSal

  Forspiro"
150,"AirFluSal

  Forspiro"
151,Airflusal Sprayhaler 
152,Airflusal Sprayhaler 
153,Akedolox
154,Akimba
155,Akimba
156,Akimba
157,Akinestat
158,Akineton
159,Akineton
160,"Akineton

  SR"
161,Akistan
162,"Akistan

  Duo"
163,Aksef
164,"Aksef

  250"
165,"Akvir

  Forte Raspberry Taste"
166,"Akvir

  Forte Strawberry Taste"
167,"Akvir

  Raspberry Taste"
168,"Akvir

  Strawberry Taste"
169,"Albiomin

  20 %"
170,Albumin 20 % - BB 
171,"Albunorm

  20%"
172,"Albunorm

  5%"
173,Alburex 20 
174,"Alburex

  5"
175,Alcaine
176,"Alcocholic

  Iodine Solution - Flo"
177,"Alcocholic

  Iodine Solution 5%"
178,Aldizem
179,Aldizem
180,"Alendronat

  Actavis"
181,"Alendronic

  Acid Aurobindo"
182,"Alendronic

  Acid/Vitamin D3 Sandoz"
183,Alercit
184,Alerpalux
185,Alexan
186,Alexan 
187,"Alfacalcidol

  Sandoz"
188,"Alfacalcidol

  Sandoz"
189,"Alfacalcidol

  Sandoz"
190,Alfalipoic
191,Alfaxin
192,"Alfuzosine

  Aurobindo"
193,"Algesal

  Suractive"
194,Algogesic
195,Algogesic
196,Algogesic
197,Algogesic
198,Algogesic
199,Algoxib
200,Algoxib
201,Algozone
202,"Algozone

  Plus"
203,Alka-Seltzer
204,AlLDone
205,Allegra
206,"Allergens

  from animals for diagnosis"
207,"Allergens

  from food for diagnosis"
208,"Allergens

  from grass polen for diagnosis"
209,"Allergens

  from textiles for diagnosis"
210,Allergodil
211,Allergodil
212,"Allergodil

  S"
213,Allergoprevent 
214,Allergosan
215,Allergosan
216,Allergosan
217,Allergosan
218,Allersan
219,Allertesin
220,Allezodac
221,"Allopurinol

  Accord"
222,"Almadrat

  T"
223,Almagel
224,Almagel
225,Almagel
226,"Almagel

  A"
227,Almagel A 
228,Almalox
229,Almalox
230,Almiral
231,Almiral
232,Almiral 
233,Almozel
234,Alnair
235,Alneta
236,Alneta
237,Alodagra
238,Alodagra
239,Alonet
240,Alonzap
241,Alonzap
242,"Alonzap

  ODT"
243,"Alonzap

  ODT"
244,Alotendin
245,Alotendin
246,Alotendin
247,Alotendin
248,"Alpha

  D3"
249,"Alpha

  D3"
250,"Alpha

  D3"
251,Alphacef 
252,Alphacef 
253,Alpicort
254,"Alpicort

  F"
255,"Alprazolam

  KRKA"
256,"Alprazolam

  KRKA"
257,"Alprazolam

  KRKA"
258,"Alprazolam

  KRKA"
259,"Alprostadil

  Rompharm"
260,Alprostapint 
261,"Alprostapint

  20 mcg"
262,Alsetron
263,Alsetron
264,Alterbin
265,Alterbin
266,Alubrex
267,"Alubrex

  20"
268,"Alumi

  gel"
269,ALUSTAL 
270,Alvanocyt
271,Alventa
272,Alventa
273,Alventa
274,Alvesco
275,Alvesco
276,Alvesco
277,Alvesco
278,Alvesco
279,AlvoBehist 
280,AlvoBehist 
281,Alvocital
282,Alvocital
283,Alvocital
284,Alvoclav 
285,Alvoclav 
286,"Alvofen

  Express"
287,"Alvofen

  Express"
288,Alvogen
289,Alvokast 
290,Alvokast 
291,Alvokast 
292,Alvonamid
293,Alvotiracetam
294,Alvotiracetam
295,Alvotiracetam
296,"ALYOSTAL

  PRICK"
297,"ALYOSTAL

  PRICK"
298,"ALYOSTAL

  PRICK"
299,"ALYOSTAL

  PRICK"
300,"ALYOSTAL

  PRICK"
301,"Alyostal

  Prick, Allergen extracts from animal for diagnosis"
302,"Alyostal

  Prick, Allergen extracts from grass pollens for diagnosis"
303,"Alyostal

  Prick, Allergen extracts from mites for diagnosis"
304,"Alyostal

  Prick, Allergen extracts from weed pollens for diagnosis"
305,Alzamed
306,Alzepil
307,Alzepil
308,"Alzepil

  ODT"
309,"Alzepil

  ODT"
310,Amarhyton
311,Amarhyton
312,Amarhyton
313,Amarhyton
314,Amaryl
315,Amaryl
316,Amaryl
317,Amaryl
318,Ambixol
319,Ambixol
320,Ambrex 
321,Ambrex 
322,Ambrin 
323,"Ambrisentan

  Accord"
324,"Ambrisentan

  Accord"
325,"Ambrisentan

  Teva"
326,"Ambrisentan

  Teva"
327,Ambro
328,Ambro
329,"Ambrolex

  R"
330,Ambrolytin
331,Ambrolytin
332,"Ambroxol

  Adipharm"
333,"Ambroxol

  AL"
334,Ambroxol Hydrochloride Fontane 
335,"Ambroxol

  VP"
336,"Ambroxol

  VP"
337,Ameolin
338,Amfidor
339,Amfidor
340,Amfidor
341,Amicor
342,Amicor
343,Amicor
344,"Amigren

  Adipharm"
345,"Amigren

  Adipharm"
346,"Amikacin

  B. Braun"
347,"Amikacin

  B. Braun"
348,"Amikacin

  B. Braun"
349,"Amikacin

  CP Medical"
350,"Amikacin

  CP Medical"
351,"Amikacin

  CP Medical"
352,"Amikacin

  Sopharma"
353,"Amikacin

  Sopharma"
354,"Aminodial

  BIOFARM"
355,"AminoNUTRIENT

  BIOPHARM"
356,"Aminoplasmal

  10% E"
357,"Aminoplasmal

  5% E"
358,"Aminoplasmal

  B. Braun"
359,"Aminoplasmal

  B. Braun"
360,"AMINOPLASMAL

  HEPA"
361,"Aminoplasmal

  Paed"
362,"Aminosteril

  N - Hepa "
363,"Aminoven

  10%"
364,"Aminoven

  5%"
365,"Amiodaron

  Actavis"
366,"Amiodaron

  Hameln"
367,"Amiodarone

  Sopharma"
368,Amiptifree
369,Amisulgen
370,Amisulgen
371,Amisulgen
372,Amisulgen
373,Amitrex
374,"Amitriptyline

  MEDA"
375,"Amitriptyline

  MEDA"
376,"Amitriptyline

  Mylan"
377,"Amitriptyline

  Mylan"
378,Amizolmet
379,Amlator
380,Amlator
381,Amlator
382,Amlator
383,Amlator
384,Amlator
385,Amlator
386,Amlator
387,Amlessa
388,Amlessa
389,Amlessa
390,Amlessa
391,Amlessa
392,Amlessa
393,Amlocor
394,Amlocor
395,Amlodicon
396,Amlodicon
397,Amlodigamma
398,Amlodigamma
399,"Amlodipin

  Alkaloid"
400,"Amlodipin

  Alkaloid"
401,"Amlodipine

  Biopharm"
402,"Amlodipine

  Biopharm"
403,Amlodipine Ecopharm 
404,"Amlodipine

  Medica"
405,"Amlodipine

  Medica"
406,"Amlodipine

  Sopharma"
407,"Amlodipine

  Sopharma"
408,Amlodipine/Atorvastatin Krka 
409,Amlodipine/Atorvastatin Krka 
410,Amlodipine/Valsartan HCS 
411,Amlodipine/Valsartan HCS 
412,"Amlodipine/Valsartan

  Sandoz"
413,"Amlodipine/Valsartan

  Sandoz"
414,"Amlodipine/Valsartan

  Sandoz"
415,"Amlodipine/Valsartan/Hydrochlorothiazide

  SPM"
416,"Amlodipine/Valsartan/Hydrochlorothiazide

  SPM"
417,"Amlodipine/Valsartan/Hydrochlorothiazide

  SPM"
418,Amlogen
419,Amlogen
420,Amlopin
421,Amlopin
422,"Amlopin

  DUO"
423,Amloteron
424,Amloteron
425,Amlovask 
426,Amlovask 
427,Amoclan
428,Amoclan
429,Amoclan
430,Amoksiklav
431,Amoksiklav
432,Amoksiklav
433,Amoksiklav
434,Amoksiklav 
435,Amoksiklav 
436,Amoksiklav 
437,Amoksiklav 
438,Amolcon
439,Amolpril
440,Amolpril
441,Amolpril
442,Amolpril
443,Amoxicillin  CNP
444,"Amoxicillin

  - MIP"
445,"Amoxicillin

  - MIP"
446,"Amoxicillin

  - MIP"
447,"Amoxicillin

  MIP"
448,"Amoxicillin

  Sandoz"
449,"Amoxicillin

  Sandoz"
450,"Amoxicillin

  Sandoz"
451,"Amoxicillin

  Sandoz"
452,Amoxigard 
453,Amoxiklav 
454,"Ampicillin

  & Sulbactam Mylan "
455,"Ampicillin

  & Sulbactam Mylan "
456,Ampicillin Floella 
457,Ampicillin TZF 
458,Ampisulcillin
459,Ampisulcillin
460,"Ampodipine/Atorvastatin

  KRKA"
461,Ampril 
462,Ampril 
463,Ampril 
464,Ampril 
465,"Ampril

  HD"
466,"Ampril

  HD"
467,"Ampril

  HL"
468,"Ampril

  HL"
469,Amvalcon
470,Amvalcon
471,"Amvalcon

  - Co"
472,"Anaestezolum

  - Flo"
473,"Anaesthesol

  Galen - Pharma"
474,Anafranil
475,Anafranil
476,"Anagrelid

  Nordic"
477,"Anagrelid

  Nordic"
478,"Anagrelid

  Nordic"
479,"Anagrelide

  AOP"
480,Analgin
481,Analgin
482,Analgin
483,"Analgin

  Chin"
484,"Analgin

  Chin"
485,"Analgin

  Kids"
486,"ANALGIN

  MAX"
487,Anapen
488,"Anapen

  Junior"
489,Anaromat
490,Anastrocon
491,Anastrozex
492,"Anastrozol

  Genericon"
493,Anastrozole Alvogen 
494,"Anastrozole

  Kabi"
495,Andante
496,Androcur
497,"Androcur

  Depot"
498,Androgel
499,Androterone 
500,Aneea
501,Anervina
502,Anestesol
503,"Anestesol

  Chemax Pharma"
504,Anestesol VT 
505,"Anesthezol

  - Kupro"
506,Anexate
507,ANGAL Intensive 
508,"Angal

  Lemon"
509,"Angal

  Menthol"
510,"Angal

  Menthol"
511,Angedil 
512,Angedil 
513,Angetop
514,Angin - Heel S 
515,Angusta
516,Anopyrin 
517,Antalerg Unimed Pharma 
518,Anti - CHF Vaccine 
519,Antiallersin
520,Antiallersin
521,Antianthrax Serum Bul Bio 
522,"Anti-CHF

  Vaccine"
523,Antidepressa
524,Antidiphetia Serum Bui Bio 
525,Antiementin
526,Antiementin
527,Antiemetin
528,Antiemetin 
529,Antiherpin
530,Antimyco - Acid Galen - Pharma 
531,"Antimyco

  - Acid Kupro"
532,Antimyco - Beta Galen - Pharma 
533,Antimyco - Beta VT 
534,Antimyco-acid
535,"Antimyco-acid

  Chemax Pharma"
536,Antimyco-Acid Chemax Pharma 
537,Antimycobeta - Forte 
538,"Antimyco-Beta

  Chemax Pharma"
539,Antimyco-Beta Chemax Pharma 
540,"Antimyco-beta

  VT"
541,Antispasmin 
542,Antistenocardin
543,Antistenocardin
544,Antitetanus Serum Bul Bio 
545,"Antithrombin

  III NF Baxter"
546,ANTITHROMBINIU NF BAXALTA 
547,"Anzibel

  Classic"
548,"Anzibel

  honey and lemon"
549,"Anzibel

  Menthol"
550,Apel
551,Apiri
552,Apleek 
553,Apleria
554,Apleria
555,"APO

  - go Ampoules"
556,"Apo

  - Infect spag. Peka"
557,"APO-go

  Pen"
558,"APO-go

  PFS"
559,"Apomorphine

  EVER Pharma"
560,Apredonav
561,Apredonav
562,"Aprepitant

  Sandoz KIT"
563,Aprokam
564,Apstar
565,Aqua ad Iniectabilia Braun 
566,Aquastrozole
567,Aquatiapine
568,Aquatiapine
569,Aquatiapine
570,Aquinil
571,Aquinil 
572,Aragil
573,Aragil
574,Aragil
575,Aragil
576,Arcoxia
577,Arcoxia
578,Arcoxia
579,Arcoxia
580,"Arduan

  4"
581,"Areston

  instant"
582,Areta
583,Areta
584,"Areta

  ACE"
585,"Areta

  ACE"
586,Argosulfan 
587,Aricept
588,Aricept
589,Aricogan
590,Arilin
591,Arilin Kombipack 
592,"Arilin

  Rapid"
593,Arimidex
594,Aripezil
595,Aripezil
596,Aripezile
597,Aripezile
598,Aripicon
599,Aripipa
600,"Aripiprazole

  Accord Healthcare"
601,"Aripiprazole

  Accord Healthcare"
602,"Aripiprazole

  Accord Healthcare"
603,"Aripiprazole

  Alvogen"
604,"Aripiprazole

  Alvogen"
605,"Aripiprazole

  Alvogen"
606,"Aripiprazole

  Aurobindo"
607,"Aripiprazole

  TEVA"
608,Arisppa
609,Arisppa
610,Arisppa
611,Arisppa
612,Arisppa
613,Aritavi 
614,Aritavi 
615,Arlevert
616,Armoneve
617,Armoneve
618,Armoneve
619,Armoneve
620,Armoneve
621,Armoneve
622,Armoneve
623,Armotraz
624,Arnica - Heel 
625,Arnigel
626,Arnikamed Dolor 
627,Aroba
628,Aromasin
629,Arplexam
630,Arplexam
631,Arplexam
632,Arplexam
633,Arplexam
634,Arquist
635,Arquist
636,Artaxin
637,Artelac
638,"Articaine

  hydrochloride and Adrenaline OSP"
639,"Articaine

  hydrochloride and Adrenaline OSP"
640,Artiss 
641,Artizia 
642,Artron A 
643,Arulatan
644,Arutimol
645,"ASA

  Krka"
646,"ASA

  Krka"
647,"ASA

  Krka"
648,Asbima
649,Asbima
650,Asbima
651,Asentra
652,Asentra
653,Asicor 
654,Asolfena
655,Asolfena
656,Aspendos
657,"Aspetax

  Adipharm"
658,"Aspetax

  Adipharm"
659,"Aspetax

  Protect Adipbarm"
660,"Aspetax

  Protect Adipharm"
661,"Aspetax

  Protect Adipharm"
662,"Aspetin

  Adipharm"
663,"Aspetin

  Adipharm"
664,"Aspetin

  Protect Adipharm"
665,Aspirin 
666,"Aspirin

  C"
667,"Aspirin

  C"
668,"Aspirin

  C Forte"
669,"Aspirin

  Complex"
670,"Aspirin

  Complex Hotdrink"
671,"Aspirin

  Protect"
672,"Aspirin

  Ultra"
673,Asprevent
674,Asprevent
675,Astator
676,Astator
677,Astator
678,Atacand
679,Atacand
680,Atacand
681,Atarax
682,"Atazanavir

  Accord"
683,"ATB

  Advance PTA Dilatation Catheter"
684,"Atenolol

  - Tchaikapharma"
685,"Atenolol

  Actavis"
686,"Atenolol

  Actavis"
687,Atenolol Sopharma 
688,Atenolol Sopharma 
689,Aterostad
690,Aterostad
691,Aterostad
692,Atimos
693,Atinepte
694,Atioprin
695,Atofab
696,Atofab
697,Atofab
698,Atofab
699,Atominex
700,Atominex
701,Atominex
702,Atominex
703,Atominex
704,"Atomoxetine

  Actavis"
705,Atomoxetine Actavis 
706,Atomoxetine Actavis 
707,Atomoxetine Actavis 
708,Atomoxetine Actavis 
709,Atomoxetine Actavis 
710,Atomoxetine Actavis 
711,Atordapin
712,Atordapin
713,Atorgamma
714,Atorgamma
715,Atorgamma
716,Atorgen
717,Atorgen
718,Atorgen
719,Atorgen
720,Atoris
721,Atoris
722,Atoris
723,Atoris
724,Atoris
725,Atoris
726,Atorva
727,Atorva
728,Atorva
729,Atorva
730,"Atorvastatin

  - Billev"
731,"Atorvastatin

  - Generocon"
732,Atorvastatin AL 
733,Atorvastatin AL 
734,"Atorvastatin

  Aurobindo"
735,"Atorvastatin

  Aurobindo"
736,"Atorvastatin

  Aurobindo"
737,"Atorvastatin

  Billev"
738,"Atorvastatin

  Billev"
739,"Atorvastatin

  Billev"
740,"Atorvastatin

  Ecopharm"
741,"Atorvastatin

  Ecopharm"
742,"Atorvastatin

  Genericon"
743,"Atorvastatin

  Genericon"
744,Atorvastatin Genericon 
745,"Atorvastatin

  Pfizer"
746,"Atorvastatin

  Pfizer"
747,"Atorvastatin

  Pfizer"
748,"Atorvastatin

  Pfizer"
749,Atorvin
750,Atorvin
751,Atorvin
752,Atorvin
753,Atorvistat
754,"Atorvistat

  K"
755,"Atorvistat

  K"
756,Atorvistat K 
757,Atorvistat K 
758,Atozet
759,Atozet
760,Atozet
761,Atozet
762,"Atracurium

  Kalceks"
763,"Atropin

  Vision"
764,"Atropine

  Sopharma"
765,"Atrovent

  N "
766,Augmentin
767,Augmentin
768,Augmentin
769,Augmentin 
770,Augmentin 
771,Augmentin 
772,"Augmentin

  ES"
773,"Augmentin

  SR"
774,Aulin
775,Aulin
776,Aulin
777,Auronal
778,Auronal
779,Auronal
780,Auronal
781,Auronal
782,Auronal
783,Aurorix
784,Auxilen
785,Avanor
786,Avanor
787,Avanor
788,Avanor
789,"Avanor

  Plus"
790,"Avanor

  Plus"
791,Avanorn
792,Avaxim
793,Avaxim 
794,"Avaxim

  160 U"
795,Avaxim 160 U adult 
796,Avaxim 80 U Pediatric 
797,Avelox
798,Avelox
799,Avernol
800,Avernol
801,Avodart
802,Axalanz
803,Axanum 
804,Axetine
805,Axetine
806,Axetine
807,Axetine
808,Axid
809,Axympa
810,Axympa
811,"Azacitidine

  Sandoz"
812,Azalia 
813,Azalonum
814,"Azathioprine

  Teva"
815,Azatril
816,Azatril 
817,Azatril 
818,Azatril 
819,Azax
820,Azecort 
821,Azibiot
822,Azibiot
823,Azibiot
824,Azibiot
825,Azimed
826,Azimed
827,Azimed
828,Azimed
829,"Azithromycin

  ABR"
830,"Azithromycin

  Chemax Pharma"
831,"Azithromycin

  Chemax Pharma"
832,"Azithromycin

  Rompharm"
833,AzitroFort
834,Azitrox
835,Azitrox
836,Azitrox
837,"Azlocillin

  Actavis"
838,"Azlocillin

  Actavis"
839,Azosin
840,Azpizal
841,Azurvig
842,Azyter
843,
844,"Одобрени КХП на лекарствени продукти, разрешени за употреба в Р.

  България"
845,
846,"търговско

  наименование:"
847,
848,"B

  12 Ankermann 1 000 mcg"
849,"B

  12 Ankermann 100 mcg"
850,Baclofen
851,Baclofen
852,"Baclofen

  - Pharmadvice"
853,"Baclofen

  - Pharmadvice"
854,"Baclofen

  - Polpharma "
855,"Baclofen

  - Polpharma "
856,Bacteripime 
857,Bactroban
858,Bactroban
859,Bactroban
860,Balcoga
861,Baneocin 
862,Baneocin 
863,Batrafen
864,Batrafen
865,Batrafen
866,"Batrafen

  Nail Lacquer"
867,"Batrafen

  Vaginal Cream"
868,Baxogar
869,"Baymycard

  RR"
870,"BCG

  Vaccine, Freeze-dried"
871,"BCG

  Vaccine, Freeze-dried"
872,"BCG

  Vaccine, Freeze-dried"
873,Bebogel
874,"Beclazone

  100 mcg Easi-Breathe"
875,"Beclazone

  250 mcg"
876,Becloforte
877,Beconase
878,Becotide
879,Befron 
880,Beklomil
881,"Bekunis

  Herbal Tablets"
882,"Bekunis

  Herbal Tea"
883,"Bekunis

  Instant Tea"
884,Belara 
885,Belkyra
886,Belladonna-Homaccord
887,Bellergamin
888,Bellergamin
889,"Belomycine

  Teva"
890,Belusha 
891,"Ben

  - Gay Pain Relieving Rub"
892,"Ben

  - Gay Sports Balm"
893,Benalgin
894,Benalgin Rapid 
895,"Benazepril

  HCT ESP Pharma"
896,"Benazepril

  HCT ESP Pharma"
897,"Benazepril

  HCT ESP Pharma"
898,Bendafolin
899,"Bendamustine

  Accord"
900,"Bendamustine

  Actavis"
901,"Bendamustine

  Helm"
902,"Bendamustine

  Mylan"
903,"Bendamustine

  Sandoz"
904,Bendinfus
905,Beneurax
906,Benfogamma
907,Benfoneurovit
908,Benfotiamine Renantos 
909,Bengay
910,Benlek
911,Benlek
912,Benmak 
913,"Benosen

  Balance"
914,"Benoxi

  Unimed Pharma"
915,Benoxi Unimed Pharma 
916,Berberis-Homaccord
917,Berdual
918,Beriate 
919,Beriate 
920,Beriate 
921,Beriate 
922,"Berinert

  1500"
923,"Berinert

  2000"
924,"Berinert

  3000"
925,"Berinert

  500"
926,"Beriplex

  P/N 1000"
927,"Beriplex

  P/N 500"
928,"Berlicetin

  Ohrentropfen"
929,Berlipril
930,Berlipril
931,Berlipril
932,"Berocca

  Orange"
933,"Berotec

  UDV"
934,Bestaren
935,Betablockade
936,Betablockade
937,Betac
938,Betaderm
939,Betaderm
940,"Betaderm

  A"
941,Betadine
942,Betadine
943,Betafuzin 
944,Betagen
945,Betagen
946,"Betahistine

  Aurobindo"
947,"Betahistine

  Aurobindo"
948,"Betahistine

  Aurobindo"
949,"Betahistine

  Dihydrochloride Accord"
950,"Betahistine

  Merck"
951,Betahistine-Vitania
952,Betaklav
953,Betaklav
954,Betaklav
955,"Betaloc

  ZOK"
956,"Betaloc

  ZOK"
957,"Betamann

  0,1%"
958,"Betamann

  0,3%"
959,Betanase
960,Betapres 
961,Betapres 
962,Betaserc
963,Betaserc
964,Betaserc 
965,Betastad
966,Betastad
967,Betastad
968,Betazon
969,Betazon
970,Betazongent
971,Betazongent
972,BetazonGent
973,BetazonGent
974,Betazontab
975,BetazonTrio 
976,Betazontrio 
977,Betnovate 
978,Betnovate 
979,"Betnovate

  - C"
980,"Betnovate

  - C"
981,"Betnovate

  C"
982,"Betnovate

  C 0,1 %"
983,"Betoptic

  S"
984,Bevacomb
985,Bevacomb
986,"Bevit

  Forte"
987,Bevit Forte 
988,Bewim
989,Bexon
990,Bezaleria
991,"Bi

  - Profenid"
992,"Bi-

  Rovamet"
993,Biafine
994,Bibloc
995,Bibloc
996,Bibloc
997,Bibloc
998,Bibloc
999,"Bibloc

  H"
1000,Bicacon
1001,Bicalan
1002,Bicalan
1003,Bicalodex 
1004,"Bicalutamide

  Accord"
1005,"Bicalutamide

  Actavis"
1006,"Bicalutamide

  Actavis"
1007,"Bicalutamide

  Kabi"
1008,Bicalutamide Kabi 
1009,Bicarbon
1010,Bicatlon
1011,BiCNU
1012,Bicromat
1013,Bicusan
1014,Bicusan
1015,Biflox 
1016,Bifodron
1017,Bifodron
1018,"Bifonazol

  ABR"
1019,Bifonazol-SL
1020,Bifonazol-SL
1021,Bifunal
1022,Bilamcar
1023,Bilamcar
1024,Bilamcar
1025,Bilamcar
1026,Bilobil
1027,"Bilobil

  forte"
1028,"Bilobil

  Intens"
1029,Bimagan 
1030,Bimasopt 
1031,"Bimatoprost

  Sandoz"
1032,"Bimatoprost

  Tiefenbacher"
1033,Bimatoprost/Timolol Rompharm 
1034,"Bimatoprost+Timolol

  PharmaSwiss"
1035,"Bimatoprost+Timolol

  Sandoz"
1036,"Bimifree

  Combi"
1037,Binoda 
1038,Binoda 
1039,Binosto
1040,Binozyt
1041,Binozyt
1042,Biocardin
1043,Biocardin
1044,Biocardin
1045,Biodroxil
1046,Biodroxil
1047,Biodroxil 
1048,"Biolectra

  Magnesium"
1049,"Biolectra

  Magnesium 300 Direct "
1050,"Biolectra

  Magnesium 365 Fortissimum"
1051,Biolin
1052,Bionoda
1053,Bioparox
1054,Bioprazol
1055,"Biosyn

  Glycomer"
1056,Biozac
1057,Biozac
1058,Biozac
1059,Biozac
1060,Biphozyl 
1061,Bi-Profenid
1062,Biprol 
1063,Biprol 
1064,Bi-Rovamet
1065,"Bisacodyl

  Sopharma"
1066,"Bisacodyl

  Sopharma"
1067,"Bisacodyl

  Sopharma"
1068,Bisalax
1069,Biseptol
1070,Biseptol
1071,Biseptol
1072,Biseptol
1073,Biseptol
1074,Biseptol
1075,"Biseptol

  120"
1076,"Biseptol

  480"
1077,"Biseptol

  480"
1078,Bismunol
1079,Bismutannalbin
1080,Bisocon
1081,Bisocon
1082,Bisogamma
1083,Bisogamma
1084,"Bisogamma

  10"
1085,BisoHEXAL 
1086,BisoHEXAL 
1087,Bisolen 
1088,Bisolen 
1089,"Bisoplus

  AL"
1090,"Bisoplus

  AL 10/25"
1091,"BisoproIol

  / Hydrochlorothiazide - DC"
1092,"BisoproIol

  / Hydrochlorothiazide - DC"
1093,"BisoproIol

  / Hydrochlorothiazide - DC"
1094,"Bisoprolol

  / Hydrochlorothiazide - DC"
1095,"Bisoprolol /

  Hydrochlorothiazide -DC "
1096,"Bisoprolol

  Accord"
1097,"Bisoprolol

  Accord"
1098,"Bisoprolol

  Accord"
1099,"Bisoprolol

  ESP Pharma"
1100,"Bisoprolol

  Mylan"
1101,"Bisoprolol

  Mylan"
1102,Bisoprolol-Vitania
1103,Bisor
1104,Bisor
1105,Bisostad
1106,Bisostad
1107,Bivacyn
1108,Bivacyn
1109,Bivolet
1110,Bivoxa
1111,Bixebra
1112,Bixebra
1113,Blastolem
1114,Blastolem
1115,Blastomat
1116,Blastomat
1117,Blastomat
1118,Bleocin
1119,"Bleomicine

  Teva"
1120,"Bleomycin

  medac"
1121,"Blocotenol

  100 mg"
1122,Bloctil
1123,Bloctimo
1124,Blokbis
1125,Blokbis
1126,Blokbis ASA 
1127,Blokbis ASA 
1128,Blokbis ASA 
1129,Blokbis ASA 
1130,"Blokbis

  Cor"
1131,"Blokbis

  Cor"
1132,"Blokbis

  Cor"
1133,BlokMAX
1134,BlokMAX
1135,BlokMAX  Forte
1136,"Blokmax

  DUO"
1137,"BlokMax

  for kids"
1138,"BlokMax

  Forte for kids"
1139,"BlokMAX

  Rapid"
1140,Bloonis
1141,Bloonis
1142,Bloonis 
1143,Bloxazoc 
1144,Bloxazoc 
1145,Bloxazoc 
1146,Bloxazoc 
1147,Bodigo
1148,Bonadea
1149,BONARTOS
1150,Bonasol 
1151,Bonaxon
1152,Bondulc
1153,Bonefos
1154,Bonefos
1155,Bonefurbit
1156,Boostrix  
1157,Boostrix  
1158,Boostrix Polio 
1159,Bortega 
1160,"Bortezamib

  Actavis"
1161,Bortezocon 
1162,"Bortezomib

  - Tchaikapharma"
1163,"Bortezomib

  Actavis"
1164,Bortezomib Krka 
1165,Bortezomib Krka 
1166,"Bortezomib

  Synthon"
1167,"Bortezomib

  Teva"
1168,"Bortezomid

  Pharmazac"
1169,"Bortezomid

  Sandoz"
1170,"Bosentan

  Accord"
1171,"Bosentan

  Accord"
1172,"Bosentan

  Sandoz"
1173,"Bosentan

  Sandoz"
